"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"NM_TIPO_DESTINACAO_VOTOS";"QT_VOTOS_NOMINAIS_VALIDOS";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";27855;"MACEIÓ";3;13;"Vereador";20000700185;28111;"LUCIANO COSTA NORONHA";"LABA";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";20000064933;"PARTIDO ISOLADO";"PRTB";"N";22;"Válido";22;5;"SUPLENTE"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";27855;"MACEIÓ";33;13;"Vereador";20000700185;28111;"LUCIANO COSTA NORONHA";"LABA";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";20000064933;"PARTIDO ISOLADO";"PRTB";"N";10;"Válido";10;5;"SUPLENTE"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";27855;"MACEIÓ";2;13;"Vereador";20000700185;28111;"LUCIANO COSTA NORONHA";"LABA";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";20000064933;"PARTIDO ISOLADO";"PRTB";"N";30;"Válido";30;5;"SUPLENTE"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";27855;"MACEIÓ";1;13;"Vereador";20000700185;28111;"LUCIANO COSTA NORONHA";"LABA";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";20000064933;"PARTIDO ISOLADO";"PRTB";"N";32;"Válido";32;5;"SUPLENTE"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";27855;"MACEIÓ";54;13;"Vereador";20000700185;28111;"LUCIANO COSTA NORONHA";"LABA";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";20000064933;"PARTIDO ISOLADO";"PRTB";"N";8;"Válido";8;5;"SUPLENTE"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";27855;"MACEIÓ";1;13;"Vereador";20000700173;28999;"WARLLEN DAVID BEZERRA NASCIMENTO MESQUITA";"DAVID EMPREGOS AL";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";20000064933;"PARTIDO ISOLADO";"PRTB";"N";790;"Válido";790;5;"SUPLENTE"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";27855;"MACEIÓ";33;13;"Vereador";20000700173;28999;"WARLLEN DAVID BEZERRA NASCIMENTO MESQUITA";"DAVID EMPREGOS AL";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";20000064933;"PARTIDO ISOLADO";"PRTB";"N";648;"Válido";648;5;"SUPLENTE"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";27855;"MACEIÓ";2;13;"Vereador";20000700173;28999;"WARLLEN DAVID BEZERRA NASCIMENTO MESQUITA";"DAVID EMPREGOS AL";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";20000064933;"PARTIDO ISOLADO";"PRTB";"N";884;"Válido";884;5;"SUPLENTE"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";27855;"MACEIÓ";3;13;"Vereador";20000700173;28999;"WARLLEN DAVID BEZERRA NASCIMENTO MESQUITA";"DAVID EMPREGOS AL";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";20000064933;"PARTIDO ISOLADO";"PRTB";"N";727;"Válido";727;5;"SUPLENTE"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";27855;"MACEIÓ";54;13;"Vereador";20000700173;28999;"WARLLEN DAVID BEZERRA NASCIMENTO MESQUITA";"DAVID EMPREGOS AL";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";20000064933;"PARTIDO ISOLADO";"PRTB";"N";830;"Válido";830;5;"SUPLENTE"
